39.984.702,116.318.417
39.984.683,11.631.845
39.984.686,116.318.417
39.984.688,116.318.385
39.984.655,116.318.263
39.984.611,116.318.026
39.984.608,116.317.761
39.984.563,116.317.517
39.984.539,116.317.294
39.984.606,116.317.065
39.984.568,116.316.911
39.984.586,116.316.716
39.984.561,116.316.527
39.984.536,116.316.354
39.984.523,116.316.188
39.984.516,116.315.963
39.984.523,116.315.823
39.984.574,116.315.611
39.984.568,116.315.407
39.984.538,116.315.148
39.984.501,116.314.907
39.984.532,116.314.808
39.984.504,116.314.625
39.984.485,116.314.426
39.984.427,11.631.424
39.984.485,116.314.042
3.998.448,116.313.818
39.984.501,116.313.659
39.984.618,116.314.323
39.984.649,116.314.107
39.984.621,116.313.941
39.984.655,116.313.724
39.984.681,116.313.521
39.984.708,116.313.311
39.984.708,116.313.099
39.984.696,116.312.921
39.984.677,116.312.746
39.984.682,116.312.525
39.984.649,116.312.332
39.984.641,116.312.123
39.984.647,116.311.917
39.984.654,11.631.172
39.984.631,116.311.569
39.984.647,11.631.138
39.984.653,116.311.189
39.984.628,116.311.026
39.984.652,116.310.854
39.984.656,11.631.066
39.984.616,116.310.534
39.984.676,11.631.033
39.984.698,116.310.063
39.984.696,116.309.937
39.984.663,116.309.851
39.984.598,116.309.749
3.998.454,116.309.656
39.984.525,116.309.503
39.984.498,116.309.348
39.984.481,116.309.173
39.984.489,116.308.993
3.998.447,116.308.827
3.998.449,116.308.638
3.998.449,116.308.485
39.984.494,116.308.351
39.984.499,116.308.201
39.984.484,116.308.049
39.984.491,116.307.902
39.984.499,116.307.809
39.984.472,116.307.687
39.984.493,116.307.548
39.984.488,116.307.434
39.984.427,116.307.292
39.984.428,116.307.126
39.984.432,116.306.943
39.984.425,116.306.801
39.984.438,116.306.633
39.984.462,116.306.486
39.984.466,1.163.063
39.984.456,116.306.047
39.984.454,116.305.854
39.984.412,116.305.682
3.998.441,116.305.466
39.984.406,116.305.281
39.984.393,116.305.023
39.984.356,116.304.909
39.984.352,116.304.704
39.984.338,116.304.543
39.984.338,116.304.315
39.984.349,116.304.083
39.984.368,116.303.934
39.984.437,116.303.813
39.984.429,116.303.672
39.984.342,116.303.444
39.984.365,116.303.298
39.984.368,116.303.132
39.984.385,11.630.292
3.998.438,116.302.754
39.984.346,116.302.601
39.984.303,116.302.457
39.984.344,116.302.271
39.984.341,116.302.094
39.984.359,116.301.888
39.984.379,116.301.693
39.984.345,1.163.015
39.984.345,116.301.309
39.984.338,116.301.107
39.984.344,116.300.877
39.984.278,116.300.674
39.984.276,116.300.462
39.984.278,116.300.307
39.984.252,116.300.156
39.984.288,116.299.943
39.984.283,11.629.981
39.984.335,116.299.744
39.984.312,116.299.703
39.984.177,116.299.699
3.998.414,116.299.697
39.984.204,116.299.721
39.984.258,116.299.736
39.984.031,116.299.573
3.998.379,116.299.578
